,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
United States,307006550,304374846,301579895,298593212,295753151,293045739,290326418,287803914,285081556,282171957
Northeast,55283679,55060196,54879379,54710026,54598185,54514298,54364452,54167735,53930017,53667506
Midwest,66836911,66595597,66359247,66082058,65806421,65587713,65319024,65074729,64815413,64493956
South,113317879,112021022,110573419,108930843,107411036,105874018,104431612,103185017,101868637,100559939
West,71568081,70698031,69767850,68870285,67937509,67069710,66211330,65376433,64467489,63450556
.Alabama,4708708,4677464,4637904,4597688,4545049,4512190,4490591,4472420,4464034,4451849
.Alaska,698473,688125,682297,677325,669488,661569,650884,642691,633316,627499
.Arizona,6595778,6499377,6362241,6192100,5974834,5759425,5591206,5452108,5304417,5166697
.Arkansas,2889450,2867764,2842194,2815097,2776221,2746161,2722291,2704732,2691068,2678288
.California,36961664,36580371,36226122,35979208,35795255,35558419,35251107,34876194,34485623,33994571
.Colorado,5024748,4935213,4842259,4753044,4660780,4599681,4548775,4504265,4433068,4328070
.Connecticut,3518288,3502932,3488633,3485162,3477416,3474610,3467673,3448382,3428433,3411726
.Delaware,885122,876211,864896,853022,839906,826639,814905,804131,794620,786411
.District of Columbia,599657,590074,586409,583978,582049,579796,577777,579585,578042,571744
.Florida,18537969,18423878,18277888,18088505,17783868,17375259,16981183,16680309,16353869,16047118
.Georgia,9829211,9697838,9533761,9330086,9097428,8913676,8735259,8585535,8419594,8230161
.Hawaii,1295178,1287481,1276832,1275599,1266117,1252782,1239298,1228069,1218305,1211566
.Idaho,1545801,1527506,1499245,1464413,1425862,1391718,1364109,1342149,1321170,1299551
.Illinois,12910409,12842954,12779417,12718011,12674452,12645295,12597981,12558229,12507833,12437645
.Indiana,6423113,6388309,6346113,6301700,6253120,6214454,6181789,6149007,6124967,6091649
.Iowa,3007856,2993987,2978719,2964391,2949450,2941358,2932799,2929264,2929424,2928184
.Kansas,2818747,2797375,2775586,2755700,2741771,2730765,2721955,2712598,2701456,2692810
.Kentucky,4314113,4287931,4256278,4219374,4182293,4147970,4118627,4091330,4069191,4048903
.Louisiana,4492076,4451513,4376122,4240327,4497691,4489327,4474726,4466068,4460816,4468979
.Maine,1318301,1319691,1317308,1314963,1311631,1308253,1303102,1293938,1284791,1277211
.Maryland,5699478,5658655,5634242,5612196,5582520,5542659,5496708,5439913,5375033,5310579
.Massachusetts,6593587,6543595,6499275,6466399,6453031,6451279,6451637,6440978,6411730,6363015
.Michigan,9969727,10002486,10050847,10082438,10090554,10089305,10066351,10038767,10006093,9955308
.Minnesota,5266214,5230567,5191206,5148346,5106560,5079344,5047862,5017458,4982813,4933958
.Mississippi,2951996,2940212,2921723,2897150,2900116,2886006,2867678,2858643,2853313,2848310
.Missouri,5987580,5956335,5909824,5861572,5806639,5758444,5714847,5680852,5643986,5606065
.Montana,974989,968035,957225,946230,934801,925887,916750,909868,905873,903293
.Nebraska,1796619,1781949,1769912,1760435,1751721,1742184,1733680,1725083,1717948,1713345
.Nevada,2643085,2615772,2567752,2493405,2408804,2328703,2236949,2166214,2094509,2018211
.New Hampshire,1324575,1321872,1317343,1311894,1301415,1292766,1281871,1271163,1256879,1240446
.New Jersey,8707739,8663398,8636043,8623721,8621837,8611530,8583481,8544115,8489469,8430921
.New Mexico,2009671,1986763,1968731,1942608,1916538,1891829,1869683,1850035,1828809,1820813
.New York,19541453,19467789,19422777,19356564,19330891,19297933,19231101,19161873,19088978,18998044
.North Carolina,9380884,9247134,9064074,8866977,8669452,8531283,8416451,8316617,8203451,8079383
.North Dakota,646844,641421,638202,636771,635365,636303,632809,633617,636267,641200
.Ohio,11542645,11528072,11520815,11492495,11475262,11464593,11445180,11420981,11396874,11363844
.Oklahoma,3687050,3644025,3612186,3574334,3532769,3514449,3498687,3484754,3464729,3453943
.Oregon,3825657,3782991,3732957,3677545,3617869,3573505,3550180,3517111,3470382,3430891
.Pennsylvania,12604767,12566368,12522531,12471142,12418161,12388368,12357524,12326302,12299533,12285504
.Rhode Island,1053209,1053502,1055009,1060196,1064989,1071414,1071504,1066034,1058051,1050736
.South Carolina,4561242,4503280,4424232,4339399,4256199,4201306,4146474,4103934,4062701,4023570
.South Dakota,812383,804532,797035,788519,780084,774283,766975,762107,758983,755694
.Tennessee,6296254,6240456,6172862,6089453,5995748,5916762,5856522,5803306,5755443,5703243
.Texas,24782302,24304290,23837701,23369024,22801920,22418319,22057801,21710788,21332847,20945963
.Utah,2784572,2727343,2663796,2583724,2499637,2438915,2379938,2334473,2291250,2244314
.Vermont,621760,621049,620460,619985,618814,618145,616559,614950,612153,609903
.Virginia,7882590,7795424,7719749,7646996,7563887,7468914,7373694,7283541,7191304,7104533
.Washington,6664195,6566073,6464979,6372243,6261282,6184289,6113262,6056187,5987785,5911122
.West Virginia,1819777,1814873,1811198,1807237,1803920,1803302,1802238,1799411,1798582,1806962
.Wisconsin,5654774,5627610,5601571,5571680,5541443,5511385,5476796,5446766,5408769,5374254
.Wyoming,544270,532981,523414,512841,506242,502988,499189,497069,492982,493958
,,,,,,,,,,
Puerto Rico,3967288,3954553,3941235,3926744,3910722,3893931,3876637,3858272,3837768,3814413
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  See Geographic Terms and Definitions at http://www.census.gov/popest/geographic/ for a list of the states that are included in each region.",,,,,,,,,,
Suggested Citation:,,,,,,,,,,
"Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2009 (NST-EST2009-01)",,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,
Release Date: December 2009,,,,,,,,,,